pair1,pair2,apr,tvl,where,network
REN,WETH,18.4,5803017.03,https://app.sushi.com/farms/,ETH
WETH,CRV,9.99,16032925.87,https://app.sushi.com/farms/,ETH
UNI,WETH,4.56,2343588.60,https://app.sushi.com/farms/,ETH
xSUSHI,WETH,14.33,24216457.97,https://app.sushi.com/farms/,ETH
WBTC,WETH,6.76,418627244.10,https://app.sushi.com/farms/,ETH
CREAM,WETH,17.92,1787937.78,https://app.sushi.com/farms/,ETH
HEGIC,WETH,9.14,584481.61,https://app.sushi.com/farms/,ETH
MKR,WETH,7.53,28373171.91,https://app.sushi.com/farms/,ETH
PICKLE,WETH,21.9,243841.03,https://app.sushi.com/farms/,ETH
WETH,OMG,13.53,2367625.89,https://app.sushi.com/farms/,ETH
AAVE,WETH,8.47,103951290.51,https://app.sushi.com/farms/,ETH
WETH,AMP,21.62,2963322.82,https://app.sushi.com/farms/,ETH
WETH,RARI,14.52,1471367.65,https://app.sushi.com/farms/,ETH
DPI,WETH,7.77,6184539.40,https://app.sushi.com/farms/,ETH
YAM,WETH,16.74,1913739.64,https://app.sushi.com/farms/,ETH
FARM,WETH,41.08,129974.34,https://app.sushi.com/farms/,ETH
DOUGH,WETH,135.7,78690.69,https://app.sushi.com/farms/,ETH
STAKE,WETH,51.68,516576.10,https://app.sushi.com/farms/,ETH
AKRO,WETH,29.53,180806.40,https://app.sushi.com/farms/,ETH
KP3R,WETH,31.8,2350423.82,https://app.sushi.com/farms/,ETH
WETH,SEEN,9.59,556600.03,https://app.sushi.com/farms/,ETH
ESD,WETH,1.71,3127430.31,https://app.sushi.com/farms/,ETH
PNK,WETH,14.49,368603.01,https://app.sushi.com/farms/,ETH
CVP,WETH,21.57,99017.79,https://app.sushi.com/farms/,ETH
YETI,WETH,17.53,487356.31,https://app.sushi.com/farms/,ETH
ARCH,WETH,13.71,778694.97,https://app.sushi.com/farms/,ETH
WETH,INJ,47.86,334671.84,https://app.sushi.com/farms/,ETH
BOR,WETH,54.33,294849.07,https://app.sushi.com/farms/,ETH
DFD,WETH,16.77,955160.82,https://app.sushi.com/farms/,ETH
WBTC,BADGER,15.91,10065327.27,https://app.sushi.com/farms/,ETH
INDEX,WETH,23.98,890437.95,https://app.sushi.com/farms/,ETH
JRT,WETH,23.89,223480.82,https://app.sushi.com/farms/,ETH
ICHI,WETH,46.38,115131.49,https://app.sushi.com/farms/,ETH
UST,WETH,29.62,1297969.95,https://app.sushi.com/farms/,ETH
WETH,BCP,12.83,831988.53,https://app.sushi.com/farms/,ETH
YPIE,WETH,9.17,582304.34,https://app.sushi.com/farms/,ETH
DDX,USDC,7.11,150262.70,https://app.sushi.com/farms/,ETH
MPH,WETH,53.52,99770.69,https://app.sushi.com/farms/,ETH
TRU,WETH,48.31,663176.19,https://app.sushi.com/farms/,ETH
ALPHA,WETH,28.27,4910347.47,https://app.sushi.com/farms/,ETH
WETH,CRETH2,2.86,3734704.51,https://app.sushi.com/farms/,ETH
DUSD,WETH,1.86,1151194.28,https://app.sushi.com/farms/,ETH
ANT,WETH,2.05,1044055.15,https://app.sushi.com/farms/,ETH
COVER,WETH,25.66,832442.85,https://app.sushi.com/farms/,ETH
WBTC,DIGG,14.4,3708029.91,https://app.sushi.com/farms/,ETH
NFTX,WETH,68.63,1166979.56,https://app.sushi.com/farms/,ETH
API3,WETH,20.57,1297861.15,https://app.sushi.com/farms/,ETH
LDO,WETH,19.83,5386258.44,https://app.sushi.com/farms/,ETH
WETH,pWING,26.72,39960.50,https://app.sushi.com/farms/,ETH
TUSD,WETH,20.87,1790774.03,https://app.sushi.com/farms/,ETH
ALEPH,WETH,41.87,127529.57,https://app.sushi.com/farms/,ETH
MTA,WETH,9.23,231460.52,https://app.sushi.com/farms/,ETH
WETH,RGT,15.21,2105644.58,https://app.sushi.com/farms/,ETH
IDLE,WETH,3.04,1755308.97,https://app.sushi.com/farms/,ETH
SDT,WETH,109.43,390334.31,https://app.sushi.com/farms/,ETH
GNO,WETH,6.46,165225.11,https://app.sushi.com/farms/,ETH
ARMOR,WETH,45.1,118388.98,https://app.sushi.com/farms/,ETH
renDOGE,WETH,81.36,524990.55,https://app.sushi.com/farms/,ETH
TORN,WETH,43.6,734687.75,https://app.sushi.com/farms/,ETH
VSP,WETH,29.51,2714160.25,https://app.sushi.com/farms/,ETH
WETH,YLD,66.17,32275.61,https://app.sushi.com/farms/,ETH
DAO,WETH,20.48,260646.95,https://app.sushi.com/farms/,ETH
WETH,GRT,21.25,1507729.90,https://app.sushi.com/farms/,ETH
FTM,WETH,14.89,4303196.34,https://app.sushi.com/farms/,ETH
WETH,ANY,9.53,2240304.14,https://app.sushi.com/farms/,ETH
PUNK,WETH,17.05,62645.44,https://app.sushi.com/farms/,ETH
MASK,WETH,31.39,34018.89,https://app.sushi.com/farms/,ETH
XFT,WETH,23.51,227128.21,https://app.sushi.com/farms/,ETH
WETH,ZRX,22.26,1199466.14,https://app.sushi.com/farms/,ETH
DERI,USDT,7.08,754303.25,https://app.sushi.com/farms/,ETH
PREMIA,WETH,2.25,2373455.49,https://app.sushi.com/farms/,ETH
BANK,WETH,107.37,795621.28,https://app.sushi.com/farms/,ETH
LINA,WETH,45.66,116937.23,https://app.sushi.com/farms/,ETH
PERP,WETH,60.04,515812.99,https://app.sushi.com/farms/,ETH
WSCRT,WETH,24.22,220475.84,https://app.sushi.com/farms/,ETH
USDP,WETH,31.79,167959.28,https://app.sushi.com/farms/,ETH
USDP,DUCK,38.99,136949.36,https://app.sushi.com/farms/,ETH
TRDL,WETH,140.72,22766.23,https://app.sushi.com/farms/,ETH
RLC,WETH,24.99,640889.69,https://app.sushi.com/farms/,ETH
bDIGG,WETH,41.78,76670.96,https://app.sushi.com/farms/,ETH
bBADGER,WETH,38.39,139085.19,https://app.sushi.com/farms/,ETH
YLA,USDC,11.25,664209.10,https://app.sushi.com/farms/,ETH
PUNK /BASIC,NFT...,63.45,50493.42,https://app.sushi.com/farms/,ETH
MASK,USDC,95.65,334928.56,https://app.sushi.com/farms/,ETH
WETH,ROOK,13.78,1938004.30,https://app.sushi.com/farms/,ETH
DFX,WETH,91.5,58352.89,https://app.sushi.com/farms/,ETH
INV,WETH,108.88,392297.37,https://app.sushi.com/farms/,ETH
OCEAN,WETH,21.4,249450.65,https://app.sushi.com/farms/,ETH
WOO,USDC,73.73,1086275.78,https://app.sushi.com/farms/,ETH
pONT,pWING,102.58,52051.31,https://app.sushi.com/farms/,ETH
DNT,WETH,8.44,632402.49,https://app.sushi.com/farms/,ETH
AERGO,WETH,90.48,59010.95,https://app.sushi.com/farms/,ETH
EGT,WETH,15.43,346096.61,https://app.sushi.com/farms/,ETH
MUST,WETH,18.07,295529.90,https://app.sushi.com/farms/,ETH
OHM,DAI,39.47,5411225.88,https://app.sushi.com/farms/,ETH
POOL,WETH,73.83,216948.10,https://app.sushi.com/farms/,ETH
WETH,YLD,21.32,751413.64,https://app.sushi.com/farms/,ETH
BZRX,WETH,13.44,794653.62,https://app.sushi.com/farms/,ETH
kmWETH/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWETH/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWETH/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWBTC/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWBTC/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWBTC/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmLINK/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmLINK/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmLINK/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/1INCH,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/AAVE,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/BADGER,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/ALPHA,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/BZRX,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/COMP,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/COVER,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/CREAM,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/GRT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/HEGIC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/LINK,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/REN,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/SRM,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/SUSHI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/UNI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/wNXM,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUSDC/YFI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmSUSHI/UNI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUNI/SUSHI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmSUSHI/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmSUSHI/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmSUSHI/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmWETH/1INCH,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmYFI/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmAAVE/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmALPHA/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmBADGER/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmRUNE/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUMA/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmDAI/CRV,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmDPI/sUSD,LINK,,0.00,https://app.sushi.com/farms/,ETH
yvBOOST,WETH,21.12,15169522.54,https://app.sushi.com/farms/,ETH
AXS,WETH,15.03,3551739.40,https://app.sushi.com/farms/,ETH
BDI,WETH,7.73,17266364.01,https://app.sushi.com/farms/,ETH
BASK,WETH,28.74,2786958.23,https://app.sushi.com/farms/,ETH
BTC2x / FLI,WBTC,22.48,5937922.98,https://app.sushi.com/farms/,ETH
WBTC,ibBTC,4.33,30794735.14,https://app.sushi.com/farms/,ETH
ZIG,WETH,201.94,26439.88,https://app.sushi.com/farms/,ETH
MM,WETH,47.28,180681.19,https://app.sushi.com/farms/,ETH
PENDLE,WETH,122.45,872044.38,https://app.sushi.com/farms/,ETH
PMON,WETH,47.58,112216.42,https://app.sushi.com/farms/,ETH
MANA,WETH,22.6,4724524.68,https://app.sushi.com/farms/,ETH
WASABI,WETH,100.55,53102.45,https://app.sushi.com/farms/,ETH
DRC,WETH,68.99,154782.56,https://app.sushi.com/farms/,ETH
WETH,DG,58.08,183848.85,https://app.sushi.com/farms/,ETH
ILV,WETH,5.22,10235849.35,https://app.sushi.com/farms/,ETH
kmxSUSHI/UST,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmxSUSHI/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmxSUSHI/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmxSUSHI/TUSD,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmxSUSHI/USDT,LINK,,0.00,https://app.sushi.com/farms/,ETH
BLO,WETH,93.57,22824.79,https://app.sushi.com/farms/,ETH
LDN,WETH,51.34,41599.21,https://app.sushi.com/farms/,ETH
WETH,WOOFY,30.36,35173.61,https://app.sushi.com/farms/,ETH
YFI,WOOFY,4.79,222732.95,https://app.sushi.com/farms/,ETH
NAOS,WETH,146.93,181696.68,https://app.sushi.com/farms/,ETH
UMB,WETH,184.53,86802.10,https://app.sushi.com/farms/,ETH
MOVE,WETH,20.92,510449.54,https://app.sushi.com/farms/,ETH
LEV,WETH,56.87,93877.69,https://app.sushi.com/farms/,ETH
WETH,MLN,36.07,2960672.31,https://app.sushi.com/farms/,ETH
RULER,WETH,153.51,83475.11,https://app.sushi.com/farms/,ETH
kmCOMP/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmFTM/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmSNX/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmRUNE/sUSD,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmREN/USDC,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmAAVE/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
kmUNI/DAI,LINK,,0.00,https://app.sushi.com/farms/,ETH
BPT,WETH,65.51,81498.92,https://app.sushi.com/farms/,ETH
NEAR,WETH,12.51,426629.59,https://app.sushi.com/farms/,ETH
BANK,WETH,29.52,180881.42,https://app.sushi.com/farms/,ETH
alUSD,WETH,24.46,873281.65,https://app.sushi.com/farms/,ETH
USDC,SAK3,89.31,203273.96,https://app.sushi.com/farms/,ETH
BOND,WETH,128.24,208180.71,https://app.sushi.com/farms/,ETH
bb_cDAI,DAI,28.8,185368.94,https://app.sushi.com/farms/,ETH
WETH,FOLD,27.57,193635.62,https://app.sushi.com/farms/,ETH
NDX,WETH,47.81,156347.84,https://app.sushi.com/farms/,ETH
DEGEN,WETH,44.92,237719.55,https://app.sushi.com/farms/,ETH
WETH,1ONE,90.94,58711.67,https://app.sushi.com/farms/,ETH
USDC,CQT,107.49,49669.96,https://app.sushi.com/farms/,ETH
USDT,DVF,40.68,1181210.57,https://app.sushi.com/farms/,ETH
