seq,pair,liquidity,vol_24h,vol_7d,fee_24h,1yr_fees/liquidity
79,QUICK-WISE,"$685,724",$289.66,"$68,218",$0.87,+0.05%
80,WETH-MOCA,"$672,932","$3,363","$59,414",$10.09,+0.55%
81,USDC-MOD,"$667,398",$137.57,"$279,056",$0.41,+0.02%
82,USDC-YAMP,"$659,294","$32,524","$704,698",$97.57,+5.40%
83,WETH-FFF,"$657,170","$2,441","$51,966",$7.32,+0.41%
84,WMATIC-YAYO,"$656,500",$0,"$11,988",$0,0%
85,USDC-ADS,"$648,359","$5,354","$539,695",$16.06,+0.90%
86,ADS-QUICK,"$646,047","$1,440","$158,077",$4.32,+0.24%
87,USDC-SDO,"$628,369",$436.94,"$79,080",$1.31,+0.08%
88,USDC-MOCA,"$619,934",$756.15,"$80,007",$2.27,+0.13%
89,WMATIC-iFARM,"$619,020","$6,598","$205,754",$19.80,+1.17%
90,COMBO-WETH,"$616,140","$1,001","$120,801",$3.00,+0.18%
91,DEFI5-WETH,"$598,293",$815.56,"$177,923",$2.45,+0.15%
92,QUICK-BIFI,"$589,291","$1,733","$143,138",$5.20,+0.32%
93,$DG-WETH,"$573,937","$8,142","$270,363",$24.42,+1.55%
94,GOVI-WETH,"$571,104",$103.47,"$72,309",$0.31,+0.02%
95,WMATIC-SALE,"$562,095",$0,"$60,965",$0,0%
96,REVV-QUICK,"$557,417","$2,409","$658,895",$7.23,+0.47%
97,WETH-DSLA,"$547,698",$402.85,"$72,673",$1.21,+0.08%
98,WETH-CC10,"$530,669",$202.76,"$46,612",$0.61,+0.04%
99,USDC-sUSDC,"$518,326",$1.62,"$57,878",$0.0048559,0%
100,WMATIC-WOLF,"$509,125",$192.47,"$143,974",$0.58,+0.04%
101,WMATIC-HT,"$505,281","$8,579","$234,420",$25.74,+1.86%
102,WETH-PLA,"$498,480",$44.86,"$26,041",$0.13,+0.01%
103,USDT-STN,"$497,820",$12.87,"$40,839",$0.0386138,0%
104,POOL-WETH,"$494,601",$22.81,"$64,319",$0.0684165,+0.01%
105,DEFI5-QUICK,"$470,029",$455.04,"$61,335",$1.37,+0.11%
106,WETH-DEGEN,"$450,539",$112.54,"$74,442",$0.34,+0.03%
107,WMATIC-SHI3LD,"$449,720","$32,878","$2,406,748",$98.63,+8.01%
108,USDC-SHI3LD,"$439,418","$50,330","$3,009,632",$150.99,+12.54%
109,CGG-QUICK,"$436,491","$5,228","$462,935",$15.68,+1.31%
110,WETH-VIDYA,"$434,070",$0,"$49,770",$0,0%
111,QUICK-YAMP,"$426,532","$25,760","$298,503",$77.28,+6.61%
112,USDC-MOONED,"$425,533","$60,162","$996,694",$180.48,+15.48%
113,PENKY-USDT,"$408,173",$0,$20.16,$0,0%
114,DAO1-USDT,"$406,579",$54.37,"$29,390",$0.16,+0.01%
115,QUICK-PolyDoge,"$403,223","$10,619","$726,778",$31.86,+2.88%
116,WMATIC-WHIRL,"$394,444",$233.03,"$117,826",$0.70,+0.06%
117,WETH-SUPER,"$379,098","$16,101","$498,335",$48.30,+4.65%
118,MEEB-WETH,"$368,200","$11,675","$489,046",$35.03,+3.47%
119,SCA-WETH,"$367,669",$378.38,"$109,400",$1.14,+0.11%
120,WETH-eQUAD,"$364,193",$0,"$4,491",$0,0%
121,USDC-ARCADIUM,"$359,471","$28,662","$1,403,804",$85.99,+8.73%
122,USDC-WBUSD,"$359,439","$14,633","$525,734",$43.90,+4.46%
123,ANGEL-WMATIC,"$352,622","$48,297","$2,876,974",$144.89,+15.00%
124,SSGT-USDT,"$341,259","$2,642","$19,020",$7.92,+0.85%
125,WMATIC-SIMP,"$340,455",$0,$921.22,$0,0%
126,WMATIC-pSWAMP,"$335,940","$11,038","$256,673",$33.12,+3.60%
127,USDC-MYFRIENDS,"$332,748","$154,059","$3,323,002",$462.18,+50.70%
128,USDC-CIRUS,"$327,962","$71,566","$1,876,142",$214.70,+23.89%
129,USDC-mBTM,"$326,146",$223.91,"$61,992",$0.67,+0.08%
131,IMX-WETH,"$323,852","$1,229","$133,230",$3.69,+0.42%
132,WETH-oBTC,"$321,977",$0,"$3,780",$0,0%
133,ARIA20-WETH,"$316,993",$87.52,"$11,106",$0.26,+0.03%
134,WMATIC-YEL,"$314,671","$1,511","$219,740",$4.53,+0.53%
135,WMATIC-FISH,"$311,396","$5,053","$378,606",$15.16,+1.78%
136,POLR-DAI,"$306,648","$2,655","$112,518",$7.96,+0.95%
137,QUICK-DNXC,"$306,456","$8,773","$378,773",$26.32,+3.13%
138,UFT-WETH,"$303,019",$888.35,"$168,567",$2.67,+0.32%
139,USDC-BALL,"$300,408","$63,445","$1,088,354",$190.34,+23.13%
140,WMATIC-BALL,"$298,334","$65,661","$934,790",$196.98,+24.10%
141,WETH-TITAN,"$296,922","$48,159","$4,174,595",$144.48,+17.76%
142,QUICK-SUPER,"$291,357","$7,087","$197,871",$21.26,+2.66%
143,WMATIC-FIRE,"$291,074",$0,"$10,552",$0,0%
144,USDC-OMEN,"$290,812","$2,225","$765,649",$6.68,+0.84%
145,EZ-QUICK,"$289,722",$906.69,"$281,339",$2.72,+0.34%
146,FOR-QUICK,"$288,401","$1,047","$600,979",$3.14,+0.40%
147,WMATIC-BabyMatic,"$287,311",$0,"$26,227",$0,0%
148,CFO-USDT,"$286,801",$0,"$9,042",$0,0%
149,USDC-GBTS,"$285,502",$883.31,"$182,375",$2.65,+0.34%
150,WMATIC-DAI,"$277,743","$12,176","$479,674",$36.53,+4.80%
151,EGG-QUICK,"$276,217","$1,620","$230,051",$4.86,+0.64%
152,QUICK-DEGEN,"$266,395",$134.36,"$38,122",$0.40,+0.06%
153,WMATIC-ARCADIUM,"$262,176","$19,528","$588,444",$58.58,+8.16%
154,UFT-QUICK,"$258,058",$846.60,"$90,041",$2.54,+0.36%
155,QUICK-iFARM,"$257,300","$1,384","$84,763",$4.15,+0.59%
156,USDC-WOW,"$255,166",$0,"$46,018",$0,0%
157,WMATIC-DM,"$248,552",$0,"$4,471",$0,0%
158,IMX-QUICK,"$247,244",$768.81,"$75,137",$2.31,+0.34%
159,USDC-IOI,"$243,474",$24.10,"$187,493",$0.0722886,+0.01%
160,WMATIC-GBTS,"$241,675",$488.47,"$97,483",$1.47,+0.22%
161,USDC-PLOT,"$234,919",$264.52,"$38,772",$0.79,+0.12%
162,QUICK-CC10,"$230,486",$263.00,"$25,499",$0.79,+0.12%
163,USDC-ORBS,"$230,145","$6,717","$36,943",$20.15,+3.20%
164,MEM-WETH,"$225,723",$3.78,"$40,869",$0.0113362,0%
165,QUICK-FFF,"$224,086",$478.23,"$26,527",$1.43,+0.23%
166,USDC-SDS,"$220,441","$1,534","$118,021",$4.60,+0.76%
167,WMATIC-PUSD,"$215,981","$2,948","$704,093",$8.84,+1.49%
168,WMATIC-EMON,"$211,000",$424.14,"$89,504",$1.27,+0.22%
169,maUSDC-maUSDT,"$208,912",$5.82,"$19,251",$0.0174698,0%
170,QUICK-MTHD,"$205,994",$21.89,"$13,423",$0.0656683,+0.01%
171,USDC-PVI,"$203,057",$116.69,"$19,852",$0.35,+0.06%
172,Krill-USDC,"$201,893",$503.66,"$162,634",$1.51,+0.27%
173,WETH-GAME,"$201,350",$252.48,"$30,426",$0.76,+0.14%
174,TCP-USDC,"$200,621","$2,246","$44,694",$6.74,+1.23%
175,USDC-IRON,"$198,886","$1,031","$47,212",$3.09,+0.57%
176,maUSDC-maDAI,"$198,478",$0,"$21,117",$0,0%
177,USDC-BONE,"$193,061","$15,509","$364,591",$46.53,+8.80%
178,$ANRX-WETH,"$190,537",$17.58,"$6,255",$0.0527296,+0.01%
179,maUSDC-maTUSD,"$189,926",$64.93,"$5,129",$0.19,+0.04%
180,QUICK-DSLA,"$189,904",$223.52,"$25,591",$0.67,+0.13%
181,renDGB-QUICK,"$185,593",$482.53,"$29,171",$1.45,+0.28%
182,QUICK-IGG,"$185,249",$267.91,"$121,550",$0.80,+0.16%
183,WMATIC-REVV,"$183,085","$1,790","$238,262",$5.37,+1.07%
184,CIOTX-QUICK,"$182,597","$1,456","$55,797",$4.37,+0.87%
185,WETH-OM,"$176,263",$34.24,"$9,507",$0.10,+0.02%
186,WMATIC-KITTY,"$174,877",$1.01,$70.76,$0.0030323,0%
187,WMATIC-CHAIN,"$173,310",$433.63,"$120,438",$1.30,+0.27%
188,WMATIC-mBAT,"$173,064",$0,"$7,040",$0,0%
189,WMATIC-START,"$172,437","$2,044","$72,653",$6.13,+1.30%
190,ANY-QUICK,"$170,952",$134.66,"$32,488",$0.40,+0.09%
191,USDC-PUP,"$169,589",$489.95,"$210,842",$1.47,+0.32%
192,XED-WETH,"$167,398",$2.08,"$164,659",$0.0062387,0%
193,FISH-QUICK,"$166,141","$1,925","$70,174",$5.77,+1.27%
194,USDC-PAPR,"$165,396",$569.96,"$12,694",$1.71,+0.38%
195,WMATIC-FVT,"$164,388",$0,"$27,118",$0,0%
196,WETH-DMT,"$163,927","$1,618","$28,034",$4.86,+1.08%
