tvl,apr,where,network,pair1,pair2
439418,12.54,QuickSwap,ETH,USDC,SHI3LD
436491,1.31,QuickSwap,ETH,CGG,QUICK
434070,0,QuickSwap,ETH,WETH,VIDYA
426532,6.61,QuickSwap,ETH,QUICK,YAMP
425533,15.48,QuickSwap,ETH,USDC,MOONED
408173,0,QuickSwap,ETH,PENKY,USDT
406579,0.01,QuickSwap,ETH,DAO1,USDT
403223,2.88,QuickSwap,ETH,QUICK,PolyDoge
394444,0.06,QuickSwap,ETH,WMATIC,WHIRL
379098,4.65,QuickSwap,ETH,WETH,SUPER
368200,3.47,QuickSwap,ETH,MEEB,WETH
367669,0.11,QuickSwap,ETH,SCA,WETH
364193,0,QuickSwap,ETH,WETH,eQUAD
359471,8.73,QuickSwap,ETH,USDC,ARCADIUM
359439,4.46,QuickSwap,ETH,USDC,WBUSD
352622,15.00,QuickSwap,ETH,ANGEL,WMATIC
341259,0.85,QuickSwap,ETH,SSGT,USDT
340455,0,QuickSwap,ETH,WMATIC,SIMP
335940,3.60,QuickSwap,ETH,WMATIC,pSWAMP
332748,50.70,QuickSwap,ETH,USDC,MYFRIENDS
327962,23.89,QuickSwap,ETH,USDC,CIRUS
326146,0.08,QuickSwap,ETH,USDC,mBTM
323852,0.42,QuickSwap,ETH,IMX,WETH
321977,0,QuickSwap,ETH,WETH,oBTC
316993,0.03,QuickSwap,ETH,ARIA20,WETH
314671,0.53,QuickSwap,ETH,WMATIC,YEL
311396,1.78,QuickSwap,ETH,WMATIC,FISH
306648,0.95,QuickSwap,ETH,POLR,DAI
306456,3.13,QuickSwap,ETH,QUICK,DNXC
303019,0.32,QuickSwap,ETH,UFT,WETH
300408,23.13,QuickSwap,ETH,USDC,BALL
298334,24.10,QuickSwap,ETH,WMATIC,BALL
296922,17.76,QuickSwap,ETH,WETH,TITAN
291357,2.66,QuickSwap,ETH,QUICK,SUPER
291074,0,QuickSwap,ETH,WMATIC,FIRE
290812,0.84,QuickSwap,ETH,USDC,OMEN
289722,0.34,QuickSwap,ETH,EZ,QUICK
288401,0.40,QuickSwap,ETH,FOR,QUICK
287311,0,QuickSwap,ETH,WMATIC,BabyMatic
286801,0,QuickSwap,ETH,CFO,USDT
285502,0.34,QuickSwap,ETH,USDC,GBTS
277743,4.80,QuickSwap,ETH,WMATIC,DAI
276217,0.64,QuickSwap,ETH,EGG,QUICK
266395,0.06,QuickSwap,ETH,QUICK,DEGEN
262176,8.16,QuickSwap,ETH,WMATIC,ARCADIUM
258058,0.36,QuickSwap,ETH,UFT,QUICK
257300,0.59,QuickSwap,ETH,QUICK,iFARM
255166,0,QuickSwap,ETH,USDC,WOW
248552,0,QuickSwap,ETH,WMATIC,DM
247244,0.34,QuickSwap,ETH,IMX,QUICK
243474,0.01,QuickSwap,ETH,USDC,IOI
241675,0.22,QuickSwap,ETH,WMATIC,GBTS
234919,0.12,QuickSwap,ETH,USDC,PLOT
230486,0.12,QuickSwap,ETH,QUICK,CC10
230145,3.20,QuickSwap,ETH,USDC,ORBS
225723,0,QuickSwap,ETH,MEM,WETH
224086,0.23,QuickSwap,ETH,QUICK,FFF
220441,0.76,QuickSwap,ETH,USDC,SDS
215981,1.49,QuickSwap,ETH,WMATIC,PUSD
211000,0.22,QuickSwap,ETH,WMATIC,EMON
208912,0,QuickSwap,ETH,maUSDC,maUSDT
205994,0.01,QuickSwap,ETH,QUICK,MTHD
203057,0.06,QuickSwap,ETH,USDC,PVI
201893,0.27,QuickSwap,ETH,Krill,USDC
201350,0.14,QuickSwap,ETH,WETH,GAME
200621,1.23,QuickSwap,ETH,TCP,USDC
198886,0.57,QuickSwap,ETH,USDC,IRON
198478,0,QuickSwap,ETH,maUSDC,maDAI
193061,8.80,QuickSwap,ETH,USDC,BONE
190537,0.01,QuickSwap,ETH,$ANRX,WETH
189926,0.04,QuickSwap,ETH,maUSDC,maTUSD
189904,0.13,QuickSwap,ETH,QUICK,DSLA
185593,0.28,QuickSwap,ETH,renDGB,QUICK
185249,0.16,QuickSwap,ETH,QUICK,IGG
183085,1.07,QuickSwap,ETH,WMATIC,REVV
182597,0.87,QuickSwap,ETH,CIOTX,QUICK
176263,0.02,QuickSwap,ETH,WETH,OM
174877,0,QuickSwap,ETH,WMATIC,KITTY
173310,0.27,QuickSwap,ETH,WMATIC,CHAIN
173064,0,QuickSwap,ETH,WMATIC,mBAT
172437,1.30,QuickSwap,ETH,WMATIC,START
170952,0.09,QuickSwap,ETH,ANY,QUICK
169589,0.32,QuickSwap,ETH,USDC,PUP
167398,0,QuickSwap,ETH,XED,WETH
166141,1.27,QuickSwap,ETH,FISH,QUICK
165396,0.38,QuickSwap,ETH,USDC,PAPR
164388,0,QuickSwap,ETH,WMATIC,FVT
163927,1.08,QuickSwap,ETH,WETH,DMT
41419381 ,26.31 ,TraderJoe,ETH,WETH.e,WAVAX
38065026 ,79.58 ,TraderJoe,ETH,WAVAX,USDT.e
18312310 ,76.51 ,TraderJoe,ETH,JOE,WAVAX
15210796 ,11.55 ,TraderJoe,ETH,LINK.e,WAVAX
14122503 ,18.94 ,TraderJoe,ETH,USDT.e,DAI.e
14047878 ,16.78 ,TraderJoe,ETH,WBTC.e,WAVAX
13838458 ,31.93 ,TraderJoe,ETH,WAVAX,DAI.e
10793459 ,49.73 ,TraderJoe,ETH,YAK,WAVAX
5944619 ,37.86 ,TraderJoe,ETH,WAVAX,SNOB
5074034 ,77.23 ,TraderJoe,ETH,JOE,USDT.e
4213340 ,15.28 ,TraderJoe,ETH,WAVAX,XAVA
2938860 ,30.58 ,TraderJoe,ETH,WETH.e,USDT.e
2208907 ,30.76 ,TraderJoe,ETH,PNG,WAVAX
2101807 ,19.39 ,TraderJoe,ETH,WBTC.e,USDT.e
2047938 ,9.58 ,TraderJoe,ETH,WET,WAVAX
1756003 ,25.58 ,TraderJoe,ETH,LINK.e,USDT.e
1644085 ,71.87 ,TraderJoe,ETH,WAVAX,PEFI
1600802 ,29.66 ,TraderJoe,ETH,SHERPA,WAVAX
1575160 ,34.41 ,TraderJoe,ETH,VSO,WAVAX
1357128 ,321 ,TraderJoe,ETH,HUSKY,WAVAX
760778 ,61.90 ,TraderJoe,ETH,WAVAX,ELK
691348 ,18.77 ,TraderJoe,ETH,WAVAX,LINK
277071 ,15.35 ,TraderJoe,ETH,RELAY,WAVAX
126584 ,3.77 ,TraderJoe,ETH,SPORE,WAVAX
65858 ,0.43 ,TraderJoe,ETH,WAVAX,OPMN
56057 ,26.15 ,TraderJoe,ETH,AVE,WAVAX
42559 ,0 ,TraderJoe,ETH,JOE,USDT
19617 ,225 ,TraderJoe,ETH,WAVAX,NEKO
14509 ,0 ,TraderJoe,ETH,PNG,JOE
13265 ,195 ,TraderJoe,ETH,QI,WAVAX
7691 ,343 ,TraderJoe,ETH,WAVAX,ETH
7484 ,42.62 ,TraderJoe,ETH,LYD,WAVAX
7293 ,35.32 ,TraderJoe,ETH,HAT,WAVAX
7130 ,215 ,TraderJoe,ETH,WAVAX,USDT
5273 ,0 ,TraderJoe,ETH,ALGOR,WAVAX
4769 ,27.59 ,TraderJoe,ETH,WBTC,WAVAX
3157 ,214 ,TraderJoe,ETH,AVXT,WAVAX
2987 ,2.82 ,TraderJoe,ETH,CORGI,WAVAX
1953 ,0 ,TraderJoe,ETH,DAI,USDT
1857 ,0 ,TraderJoe,ETH,JOE,DAI
241.85 ,50.59 ,TraderJoe,ETH,WAVAX,DAI
168.28 ,0 ,TraderJoe,ETH,WAVAX,🐆
139.86 ,0 ,TraderJoe,ETH,CYCLE,WAVAX
121.68 ,18.39 ,TraderJoe,ETH,DAI.e,PEFI
49.42 ,0 ,TraderJoe,ETH,SFI,JOE
45.61 ,0 ,TraderJoe,ETH,YAK,JOE
28.73 ,17.17 ,TraderJoe,ETH,SFI,WAVAX
21.51 ,0 ,TraderJoe,ETH,LINK,USDT
10.27 ,0 ,TraderJoe,ETH,NAKAMOTO,WAVAX
10.04 ,6.42 ,TraderJoe,ETH,SUSHI,WAVAX
7.41 ,0 ,TraderJoe,ETH,SL3,JOE
7.34 ,0 ,TraderJoe,ETH,SL3,WAVAX
6.19 ,0 ,TraderJoe,ETH,PNG,VSO
3.62 ,0 ,TraderJoe,ETH,SHIBX,WAVAX
0.26 ,0 ,TraderJoe,ETH,WAVAX,LUX
0.13 ,0 ,TraderJoe,ETH,SNOB,PEFI
0.0543 ,0 ,TraderJoe,ETH,WBTC,USDT
0.0363 ,0 ,TraderJoe,ETH,WAVAX,ADFI
0.0258 ,0 ,TraderJoe,ETH,LINK,PEFI
0.0128 ,0 ,TraderJoe,ETH,YAK,mYAK
0.0015 ,0 ,TraderJoe,ETH,GRT.e,WAVAX
< 0.0001 ,0 ,TraderJoe,ETH,USDT,ETH
0.00 ,0 ,TraderJoe,ETH,WAVAX,GDL
0.00 ,0 ,TraderJoe,ETH,SWRUNK,WAVAX
0.00 ,0 ,TraderJoe,ETH,PNG,LINK
0.00 ,0 ,TraderJoe,ETH,WAVAX,TEN
0.00 ,0 ,TraderJoe,ETH,AVNGR,WAVAX
0.00 ,0 ,TraderJoe,ETH,WAVAX,USELESS
0.00 ,0 ,TraderJoe,ETH,JOE,WET
0.00 ,0 ,TraderJoe,ETH,PNG,SNOB
0.00 ,0 ,TraderJoe,ETH,PNG,DAI
0.00 ,0 ,TraderJoe,ETH,DALTON,WAVAX
0.00 ,0 ,TraderJoe,ETH,shit,WAVAX
0.00 ,0 ,TraderJoe,ETH,PNG,XAVA
0.00 ,0 ,TraderJoe,ETH,AVME,WAVAX
