,pair1,pair2,apr,tvl,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
32,0xBTC,ETH,0.6715669200000001,21306.9543463,ETH,0.6738207674297003,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
33,0xBTC,ETH,0.6715669200000001,21306.9543463,ETH,0.6738207674297003,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
34,0xMR,ETH,2.20644252,4002.270682,ETH,2.230896309897834,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
35,0xMR,ETH,2.20644252,4002.270682,ETH,2.230896309897834,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
36,1337,ETH,0.31713624,139818.68342359998,ETH,0.3176382668812927,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
37,1337,ETH,0.31713624,139818.68342359998,ETH,0.3176382668812927,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
38,1INCH,ETH,0.00,8535735.04,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-07-19,https://1inch.exchange/#/dao/farming,ETH,B
39,1INCH,ETH,6.19581168,594358.1368683,ETH,6.39121893991661,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
40,1INCH,ETH,6.124915560000001,6998.9160646,ETH,6.315831144072437,FARM,Sushi,2021-07-19,Sushi,ETH,A
41,1INCH,ETH,6.19581168,594358.1368683,ETH,6.39121893991661,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
42,1INCH,ETH,6.124915560000001,6998.9160646,ETH,6.315831144072437,POOL,Sushi,2021-07-19,Sushi,ETH,A
43,1INCH,SUSHI,0.61528176,3011.5062674,ETH,0.6171732884739045,FARM,Sushi,2021-07-19,Sushi,ETH,A
44,1INCH,SUSHI,0.61528176,3011.5062674,ETH,0.6171732884739045,POOL,Sushi,2021-07-19,Sushi,ETH,A
45,1INCH,UNI,0.0,48.181847399999995,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
46,1INCH,UNI,0.0,48.181847399999995,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
47,1INCH,USDC,0.26752788,1097.6247111999999,ETH,0.2678850721166359,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
48,1INCH,USDC,0.04126344,10.4943915,ETH,0.04127193119349837,FARM,Sushi,2021-07-19,Sushi,ETH,A
49,1INCH,USDC,0.26752788,1097.6247111999999,ETH,0.2678850721166359,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
50,1INCH,USDC,0.04126344,10.4943915,ETH,0.04127193119349837,POOL,Sushi,2021-07-19,Sushi,ETH,A
51,1INCH,VSP,0.00,3239651.95,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-07-19,https://1inch.exchange/#/dao/farming,ETH,B
52,1INCH,stETH,0.0,0.0,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
53,1INCH,stETH,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
54,1ONE,ETH,1.45033824,236669.5841932,ETH,1.4608774409403003,FARM,Sushi,2021-07-19,Sushi,ETH,A
55,1ONE,ETH,1.45033824,236669.5841932,ETH,1.4608774409403003,POOL,Sushi,2021-07-19,Sushi,ETH,A
56,1ONE,USDC,0.01960236,110.9463018,ETH,0.019604276120133157,FARM,Sushi,2021-07-19,Sushi,ETH,A
57,1ONE,USDC,0.01960236,110.9463018,ETH,0.019604276120133157,POOL,Sushi,2021-07-19,Sushi,ETH,A
58,1UP,ETH,0.34958736,330.1780513,ETH,0.35019744931239494,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
59,1UP,ETH,0.34958736,330.1780513,ETH,0.35019744931239494,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
60,2GT,USDT,0.57959616,34303.053094200004,ETH,0.5812744398215663,FARM,Sushi,2021-07-19,Sushi,ETH,A
61,2GT,USDT,0.57959616,34303.053094200004,ETH,0.5812744398215663,POOL,Sushi,2021-07-19,Sushi,ETH,A
62,2KEY,DAI,0.59892336,7572.2355164,ETH,0.6007155486902116,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
63,2KEY,DAI,0.59892336,7572.2355164,ETH,0.6007155486902116,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
64,2KEY,ETH,0.8868759599999999,66063.8724005,ETH,0.890809486404609,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
65,2KEY,ETH,0.0041978399999999996,12.239538600000001,ETH,0.004197927865190465,FARM,Sushi,2021-07-19,Sushi,ETH,A
66,2KEY,ETH,0.8868759599999999,66063.8724005,ETH,0.890809486404609,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
67,2KEY,ETH,0.0041978399999999996,12.239538600000001,ETH,0.004197927865190465,POOL,Sushi,2021-07-19,Sushi,ETH,A
68,4Belt,,0,,BSC,0.0,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
69,69C,ETH,0.2045052,509.17299540000005,ETH,0.20471388042446748,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
70,69C,ETH,0.2045052,509.17299540000005,ETH,0.20471388042446748,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
71,88MPH,DAI,0.0,8166.8353414,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
72,88MPH,DAI,0.0,8166.8353414,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
73,88MPH,UNI,11.1087438,19860.867238299998,ETH,11.747372703475989,FARM,Sushi,2021-07-19,Sushi,ETH,A
74,88MPH,UNI,11.1087438,19860.867238299998,ETH,11.747372703475989,POOL,Sushi,2021-07-19,Sushi,ETH,A
75,AAH,ETH,0.80946408,44487.4810523,ETH,0.8127400495830273,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
76,AAH,ETH,0.80946408,44487.4810523,ETH,0.8127400495830273,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
77,AAVE,AVAX,11.74,2412377.24,AVAX,12.45479397355831,FARM,https://app.pangolin.exchange/#/png,2021-07-19,https://app.pangolin.exchange/#/png,AVAX,B
78,AAVE,BNB,22.00,3023080.78,BSC,24.599414991222226,FARM,https://apeswap.finance,2021-07-19,https://apeswap.finance,BSC,C
79,AAVE,ETH,15.79,38204608.81,PLOYGON,17.10091001632883,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
80,AAVE,ETH,2.2652742,54347138.633753605,ETH,2.2910544728981685,FARM,Sushi,2021-07-19,Sushi,ETH,A
81,AAVE,ETH,2.7178942800000003,12775246.1343209,ETH,2.75506195455697,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
82,AAVE,ETH,2.2652742,54347138.633753605,ETH,2.2910544728981685,POOL,Sushi,2021-07-19,Sushi,ETH,A
83,AAVE,ETH,2.7178942800000003,12775246.1343209,ETH,2.75506195455697,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
84,AAVE,FTM,60.79,1315868.03,FANTOM,83.56421006105168,FARM,https://spookyswap.finance,2021-07-19,https://spookyswap.finance,FANTOM,B
85,AAVE,MUST,0.00,7388.04,PLOYGON,0.0,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
86,AAVE,PNG,35.50,168812.38,AVAX,42.59346235029429,FARM,https://app.pangolin.exchange/#/png,2021-07-19,https://app.pangolin.exchange/#/png,AVAX,B
87,ABYSS,ETH,2.71393896,237943.03365889998,ETH,2.750998045802633,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
88,ABYSS,ETH,2.71393896,237943.03365889998,ETH,2.750998045802633,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
89,AC,ETH,0.44232972000000004,129257.39204339999,ETH,0.4433067498336829,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
90,AC,ETH,0.44232972000000004,129257.39204339999,ETH,0.4433067498336829,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
91,ACXT,DGCL,12.6019944,9845.625273,ETH,13.428011997044687,FARM,Sushi,2021-07-19,Sushi,ETH,A
92,ACXT,DGCL,12.6019944,9845.625273,ETH,13.428011997044687,POOL,Sushi,2021-07-19,Sushi,ETH,A
93,ADA,BNB,6.19,21805181.66,BSC,6.385037051239273,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
94,ADA,BNB,20.37,6536330.25,BSC,22.58606643796559,FARM,https://apeswap.finance,2021-07-19,https://apeswap.finance,BSC,C
95,ADA,BNB,17.73,21805181.63,BSC,19.39378383107706,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
96,ADA,ETH,12.34,2698191.67,BSC,13.131327144733241,FARM,https://apeswap.finance,2021-07-19,https://apeswap.finance,BSC,C
97,ADA,USDT,5.47,12616441.04,BSC,5.621937127152354,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
98,ADAO,DAI,0.0,0.0831986,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
99,ADAO,DAI,0.0,0.0831986,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
100,ADEL,ETH,4.50973956,5708.4233131,ETH,4.612682911487109,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
101,ADEL,ETH,4.50973956,5708.4233131,ETH,4.612682911487109,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
102,ADX,BUSD,192.86,2157926.77,BSC,584.5028857828017,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
103,ADX,ETH,0.1871688,37.9065664,ETH,0.1873435893415376,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
104,ADX,ETH,2.27612268,40874.8483416,ETH,2.3021514090480144,FARM,Sushi,2021-07-19,Sushi,ETH,A
105,ADX,ETH,3.54973212,429296.94442380004,ETH,3.613308416164518,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
106,ADX,ETH,0.1871688,37.9065664,ETH,0.1873435893415376,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
107,ADX,ETH,2.27612268,40874.8483416,ETH,2.3021514090480144,POOL,Sushi,2021-07-19,Sushi,ETH,A
108,ADX,ETH,3.54973212,429296.94442380004,ETH,3.613308416164518,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
109,AERGO,ETH,0.12605880000000003,53.4775214,ETH,0.12613806954404616,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
110,AERGO,ETH,3.1888357199999997,30301.8226856,ETH,3.240080057475292,FARM,Sushi,2021-07-19,Sushi,ETH,A
111,AERGO,ETH,0.12605880000000003,53.4775214,ETH,0.12613806954404616,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
112,AERGO,ETH,3.1888357199999997,30301.8226856,ETH,3.240080057475292,POOL,Sushi,2021-07-19,Sushi,ETH,A
113,AFDLT,AfroX,0.03505788,172.8598082,ETH,0.035064009149365916,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
114,AFDLT,AfroX,0.03505788,172.8598082,ETH,0.035064009149365916,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
115,AFDLT,ETH,0.9641687999999999,5.8690536,ETH,0.9688190242961525,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
116,AFDLT,ETH,0.9641687999999999,5.8690536,ETH,0.9688190242961525,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
117,AFK,ETH,0.0,99.897471,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
118,AFK,ETH,0.0,99.897471,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
119,AGA,AGAr,0.00,79413.91,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
120,AGA,QUICK,0.00,2915.37,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
121,AGAr,AGA,0.00,79413.91,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
122,AGAr,QUICK,0.00,7.87,PLOYGON,0.0,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
123,AGI,NIOX,0.00,2066.59,PLOYGON,0.0,FARM,https://swap.smartdex.app,2021-07-19,,,
124,AGIX,ETH,12.19295928,697690.9834662001,ETH,12.965156071019557,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
125,AGIX,ETH,12.19295928,697690.9834662001,ETH,12.965156071019557,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
126,AIOZ,ETH,6.557623679999999,22360.528866599998,ETH,6.776784868214358,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
127,AIOZ,ETH,6.557623679999999,22360.528866599998,ETH,6.776784868214358,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
128,AKITA,ETH,0.48967056,2.1812549,ETH,0.4908681048348962,FARM,Sushi,2021-07-19,Sushi,ETH,A
129,AKITA,ETH,4.52985864,1132841.7280864,ETH,4.633729531762554,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
130,AKITA,ETH,0.48967056,2.1812549,ETH,0.4908681048348962,POOL,Sushi,2021-07-19,Sushi,ETH,A
131,AKITA,ETH,4.52985864,1132841.7280864,ETH,4.633729531762554,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
132,AKRO,ETH,6.24208464,95872.8727157,ETH,6.440452307608413,FARM,Sushi,2021-07-19,Sushi,ETH,A
133,AKRO,ETH,5.12771832,175557.1208567,ETH,5.261082894249558,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
134,AKRO,ETH,6.24208464,95872.8727157,ETH,6.440452307608413,POOL,Sushi,2021-07-19,Sushi,ETH,A
135,AKRO,ETH,5.12771832,175557.1208567,ETH,5.261082894249558,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
136,AKRO,USDC,6.3403060799999995,453263.8456604,ETH,6.545032978838017,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
137,AKRO,USDC,6.3403060799999995,453263.8456604,ETH,6.545032978838017,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
138,ALBT,ETH,10.8121806,1419560.3178008,ETH,11.416561232256806,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
139,ALBT,ETH,10.8121806,1419560.3178008,ETH,11.416561232256806,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
140,ALBT,USDT,8.536676400000001,1008208.3719074,ETH,8.91055714157405,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
141,ALBT,USDT,8.536676400000001,1008208.3719074,ETH,8.91055714157405,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
142,ALCH,ETH,0.042109320000000006,61.0043498,ETH,0.04211816291734838,FARM,Sushi,2021-07-19,Sushi,ETH,A
143,ALCH,ETH,0.042109320000000006,61.0043498,ETH,0.04211816291734838,POOL,Sushi,2021-07-19,Sushi,ETH,A
144,ALCX,ETH,1.9999064399999997,58364740.9152739,ETH,2.019982658576658,FARM,Sushi,2021-07-19,Sushi,ETH,A
145,ALCX,ETH,1.9999064399999997,58364740.9152739,ETH,2.019982658576658,POOL,Sushi,2021-07-19,Sushi,ETH,A
146,ALCX,LRC,0.55982244,1351.4530204,ETH,0.5613880568432039,FARM,Sushi,2021-07-19,Sushi,ETH,A
147,ALCX,LRC,0.55982244,1351.4530204,ETH,0.5613880568432039,POOL,Sushi,2021-07-19,Sushi,ETH,A
148,ALCX,SUSHI,8.399999999999999e-07,0.0888993,ETH,8.39996072699023e-07,FARM,Sushi,2021-07-19,Sushi,ETH,A
149,ALCX,SUSHI,8.399999999999999e-07,0.0888993,ETH,8.39996072699023e-07,POOL,Sushi,2021-07-19,Sushi,ETH,A
150,ALEPH,ETH,3.9286416000000006,133232.5517951,ETH,4.006613437255102,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
151,ALEPH,ETH,0.39104651999999995,408.846109,ETH,0.3918100015569248,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
152,ALEPH,ETH,2.3152338,66658.7838944,ETH,2.3421682343828465,FARM,Sushi,2021-07-19,Sushi,ETH,A
153,ALEPH,ETH,3.9286416000000006,133232.5517951,ETH,4.006613437255102,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
154,ALEPH,ETH,0.39104651999999995,408.846109,ETH,0.3918100015569248,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
155,ALEPH,ETH,2.3152338,66658.7838944,ETH,2.3421682343828465,POOL,Sushi,2021-07-19,Sushi,ETH,A
156,ALEPH,USDC,0.89,4312502.499320563,SOL,0.8939613281628622,FARM,Raydium,2021-07-19,Raydium,SOL,B
157,ALEPH,USDC,0.89,4312502.499320563,SOL,0.8939613281628622,POOL,Raydium,2021-07-19,Raydium,SOL,B
158,ALEX,ETH,3.04119144,35163.3074434,ETH,3.0877774432562566,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
159,ALEX,ETH,3.04119144,35163.3074434,ETH,3.0877774432562566,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
160,ALICE,BAKE,78.19,354049.79,BSC,118.37939413823806,FARM,https://www.bakeryswap.org,2021-07-19,https://www.bakeryswap.org,BSC,C
161,ALICE,BNB,1.84,7848807.90,BSC,1.856985066685768,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
162,ALICE,BNB,48.22,7847317.21,BSC,61.91183359572199,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
163,ALIS,ETH,2.40782724,3786.009399,ETH,2.436968117488436,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
164,ALIS,ETH,2.40782724,3786.009399,ETH,2.436968117488436,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
165,ALOHA,NIOX,0.00,19418.50,PLOYGON,0.0,FARM,https://swap.smartdex.app,2021-07-19,,,
166,ALPA,BNB,4.54,3488251.95,BSC,4.644340034675576,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
167,ALPA,BNB,228.77,3488251.95,BSC,878.2162171936394,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
168,ALPA,ETH,10.52946084,4196.9329904999995,ETH,11.10210126014417,FARM,Sushi,2021-07-19,Sushi,ETH,A
169,ALPA,ETH,10.52946084,4196.9329904999995,ETH,11.10210126014417,POOL,Sushi,2021-07-19,Sushi,ETH,A
170,ALPACA,BUSD,38.31,19650008.67,BSC,46.65300376772055,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
171,ALPHA,BNB,12.60,15225128.84,BSC,13.425750592036234,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
172,ALPHA,BNB,49.61,15225128.84,BSC,64.17506812759721,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
173,ALPHA,ETH,204.27782808,92349.1338372,ETH,666.8209603014294,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
174,ALPHA,ETH,17.9079834,2482604.5176023,ETH,19.606370292225783,FARM,Sushi,2021-07-19,Sushi,ETH,A
175,ALPHA,ETH,204.27782808,92349.1338372,ETH,666.8209603014294,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
176,ALPHA,ETH,17.9079834,2482604.5176023,ETH,19.606370292225783,POOL,Sushi,2021-07-19,Sushi,ETH,A
177,ALPHA,RUNE,3.22020108,13366.5779968,ETH,3.272463915496626,FARM,Sushi,2021-07-19,Sushi,ETH,A
178,ALPHA,RUNE,3.22020108,13366.5779968,ETH,3.272463915496626,POOL,Sushi,2021-07-19,Sushi,ETH,A
179,ALPHA,ibETH,2.0184294,250251.3049634,ETH,2.038880489079342,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
180,ALPHA,ibETH,2.0184294,250251.3049634,ETH,2.038880489079342,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
181,ALPHA,ibETHv2,3.0933132,1748014.7298827001,ETH,3.1415180952147903,FARM,Sushi,2021-07-19,Sushi,ETH,A
182,ALPHA,ibETHv2,3.0933132,1748014.7298827001,ETH,3.1415180952147903,POOL,Sushi,2021-07-19,Sushi,ETH,A
183,ALPHA,stETH,0.0,214.630079,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
184,ALPHA,stETH,0.0,214.630079,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
185,AMALGAM,ETH,0.0,158.9746146,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
186,AMALGAM,ETH,0.0,158.9746146,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
187,AMIS,BTC,0.0,5.6664683,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
188,AMIS,BTC,0.0,5.6664683,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
189,AMIS,DAI,0.0,2.5206599,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
190,AMIS,DAI,0.0,2.5206599,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
191,AMIS,ETH,0.09280428,17.6840272,ETH,0.09284723840545794,FARM,Sushi,2021-07-19,Sushi,ETH,A
192,AMIS,ETH,0.09280428,17.6840272,ETH,0.09284723840545794,POOL,Sushi,2021-07-19,Sushi,ETH,A
193,AMIS,SUSHI,0.07038588,31.2255895,ETH,0.0704105887578299,FARM,Sushi,2021-07-19,Sushi,ETH,A
194,AMIS,SUSHI,0.07038588,31.2255895,ETH,0.0704105887578299,POOL,Sushi,2021-07-19,Sushi,ETH,A
195,AMIS,USDC,0.58915704,135.37599619999997,ETH,0.5908912005265998,FARM,Sushi,2021-07-19,Sushi,ETH,A
196,AMIS,USDC,0.58915704,135.37599619999997,ETH,0.5908912005265998,POOL,Sushi,2021-07-19,Sushi,ETH,A
197,AMIS,USDT,0.01639752,7.3206356,ETH,0.016398860782640412,FARM,Sushi,2021-07-19,Sushi,ETH,A
198,AMIS,USDT,0.01639752,7.3206356,ETH,0.016398860782640412,POOL,Sushi,2021-07-19,Sushi,ETH,A
199,AMN,ETH,1.2611694,32324.8041838,ETH,1.269133615121576,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
200,AMN,ETH,1.2611694,32324.8041838,ETH,1.269133615121576,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
201,AMP,DAI,0.81714492,5860.6568405,ETH,0.8204834396833505,FARM,Sushi,2021-07-19,Sushi,ETH,A
202,AMP,DAI,0.81714492,5860.6568405,ETH,0.8204834396833505,POOL,Sushi,2021-07-19,Sushi,ETH,A
203,AMP,ETH,24.873751560000002,2148191.703028,ETH,28.229674257225113,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
204,AMP,ETH,21.26441472,1626129.1955646,ETH,23.68678163077471,FARM,Sushi,2021-07-19,Sushi,ETH,A
205,AMP,ETH,24.873751560000002,2148191.703028,ETH,28.229674257225113,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
206,AMP,ETH,21.26441472,1626129.1955646,ETH,23.68678163077471,POOL,Sushi,2021-07-19,Sushi,ETH,A
207,AMPL,BUSD,106.65,7078987.41,BSC,190.06791980979526,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
208,AMPL,DAI,0.0,145.2230179,ETH,0.0,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
209,AMPL,DAI,0.0,145.2230179,ETH,0.0,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
210,AMPL,ETH,4.949800079999999,4318218.179626999,ETH,5.073996534821235,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
211,AMPL,ETH,3.9247046400000003,2574375.7520607,ETH,4.002519259531034,FARM,Sushi,2021-07-19,Sushi,ETH,A
212,AMPL,ETH,4.949800079999999,4318218.179626999,ETH,5.073996534821235,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
213,AMPL,ETH,3.9247046400000003,2574375.7520607,ETH,4.002519259531034,POOL,Sushi,2021-07-19,Sushi,ETH,A
