,pair1,pair2,apr,tvl,fee,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
14,$ROPE,ETH,1.43142288,39627.072061,,ETH,1.4416883231318733,POOL,Sushi,2021-08-23,Sushi,ETH,A
15,$TRDL,ETH,94.53,126154.63,0,ETH,157.04423652424896,FARM,https://strudel.finance,2021-08-23,https://strudel.finance,ETH,D
16,$TRDL,ETH,2.1425808,37030.8631247,,ETH,2.1656346299837814,POOL,Sushi,2021-08-23,Sushi,ETH,A
17,$TRDL,ETH,0.9682076399999999,2427.323099,,ETH,0.9728969677482269,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
18,$TRDL,MUST,0.00,14937.20,0,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-08-23,https://swap.cometh.io/#/stake,MATIC,C
19,0,,0,,0,ETH,0.0,FARM,https://cvi.finance,2021-08-23,https://cvi.finance,ETH,D
20,0819,AUR,0.0,0.0,,ETH,0.0,POOL,Sushi,2021-08-23,Sushi,ETH,A
21,0XC,,0,0.00,4,BSC,0.0,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
22,0XC,BLAZE,6281.59,28.66,3,BSC,1.4855276971214085e+27,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
23,0XC,BNB,10884.00,8.27,4,BSC,2.3371260673897697e+43,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
24,0XMON,ETH,10.93031148,32628.288525400003,,ETH,11.548217131635452,POOL,Sushi,2021-08-23,Sushi,ETH,A
25,0xBTC,ETH,8.66,68307.10,0,ETH,9.044920743259087,FARM,https://www.bao.finance,2021-08-23,https://www.bao.finance,ETH,F
26,0xBTC,ETH,26.41333668,18776.0848119,,ETH,30.21774729180402,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
27,0xMR,ETH,1.75472436,4843.6128008999995,,ETH,1.7701671684615228,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
28,10SET,ETH,0.0,0.5165812,,ETH,0.0,POOL,Sushi,2021-08-23,Sushi,ETH,A
29,1337,ETH,0.72900024,106408.72808999999,,ETH,0.7316565823636934,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
30,1INCH,,0,0.00,5,BSC,0.0,FARM,https://caramelswap.finance,2021-08-23,https://caramelswap.finance,BSC,C
31,1INCH,,0,0.00,4,BSC,0.0,FARM,https://poopswap.finance,2021-08-23,https://poopswap.finance,BSC,F
32,1INCH,ABS,0.00,249.09,0,BSC,0.0,FARM,https://absorber.finance,2021-08-23,https://absorber.finance,BSC,D
33,1INCH,BNB,0,0.00,1.99,BSC,0.0,FARM,https://brussels.worldswap.finance,2021-08-23,https://brussels.worldswap.finance,BSC,D
34,1INCH,BNB,91.54,1843.23,0,BSC,149.4913424746495,FARM,https://icecreamswap.finance,2021-08-23,https://icecreamswap.finance,BSC,D
35,1INCH,BNB,986.66,874.09,3.5,BSC,1690797.2120880608,FARM,http://mangofarm.finance,2021-08-23,http://mangofarm.finance,BSC,C
36,1INCH,BNB,0.00,2161.05,1.99,BSC,0.0,FARM,https://berlin.worldswap.finance,2021-08-23,https://berlin.worldswap.finance,BSC,D
37,1INCH,BUSD,13.56,253.44,2.5,BSC,14.51948739020985,FARM,http://mangofarm.finance,2021-08-23,http://mangofarm.finance,BSC,C
38,1INCH,ETH,0.25,2468911.82,0,ETH,0.25031190227426947,FARM,https://www.bao.finance,2021-08-23,https://www.bao.finance,ETH,F
39,1INCH,ETH,14.4214008,746216.6643538,,ETH,15.50983888872015,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
40,1INCH,ETH,9.897306239999999,10589.019348700002,,ETH,10.402174708036348,POOL,Sushi,2021-08-23,Sushi,ETH,A
41,1INCH,SNKE,8791.98,0.35,4.00,BSC,1.6251051996328856e+36,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
42,1INCH,SUSHI,0.3068994,4008.1648447,,ETH,0.3073695241465835,POOL,Sushi,2021-08-23,Sushi,ETH,A
43,1INCH,UNI,0.0,0.0013099,,ETH,0.0,POOL,Sushi,2021-08-23,Sushi,ETH,A
44,1INCH,USDC,0.38234784,11.3532117,,ETH,0.38307771157650716,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
45,1INCH,USDC,0.11800152,6.8158518,,ETH,0.11807097821603385,POOL,Sushi,2021-08-23,Sushi,ETH,A
46,1ONE,ETH,1.43916156,269177.8566556,,ETH,1.4495385658334081,POOL,Sushi,2021-08-23,Sushi,ETH,A
47,1ONE,USDC,0.02521644,76.7798883,,ETH,0.025219610899740452,POOL,Sushi,2021-08-23,Sushi,ETH,A
48,1UP,ETH,0.71604744,265.5408723,,ETH,0.7186101155677971,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
49,1VIPER,COBRA,6076.49,485541.28,0,BSC,2.570997738068129e+26,FARM,https://cobra.exchange,2021-08-23,,,
50,2GT,USDT,2.0027885999999997,21272.380495499998,,ETH,2.0229229188620135,POOL,Sushi,2021-08-23,Sushi,ETH,A
51,2KEY,DAI,1.0568028,4567.105245299999,,ETH,1.0623912227485377,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
52,2KEY,ETH,1.99679088,51443.1564251,,ETH,2.0168043883260323,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
53,3Crv,,19.25,74675658.52,0,ETH,21.221498933286153,FARM,https://www.convexfinance.com,2021-08-23,https://www.convexfinance.com,ETH,B
54,3Crv,,5.87,124927167.86,0,ETH,6.0452050958403,FARM,https://www.convexfinance.com,2021-08-23,https://www.convexfinance.com,ETH,B
55,3EPS,,19.89,319274600.07,0,BSC,21.99938603608644,FARM,https://ellipsis.finance,2021-08-23,https://ellipsis.finance,BSC,C
56,3EPS,,9.89,154413.51,0,BSC,10.394110940525692,FARM,https://app.swamp.finance,2021-08-23,https://app.swamp.finance,BSC,C
57,3FBird,,0,0.00,0,MATIC,0.0,FARM,https://app.firebird.finance,2021-08-23,https://app.firebird.finance,MATIC,C
58,3FROYO,,10.95,164885.73,0,FANTOM,11.570174904772411,FARM,https://frozenyogurt.finance,2021-08-23,https://frozenyogurt.finance,FANTOM,F
59,3NRV-LP,,16.26,81252000.26,0,BSC,17.65233703313589,FARM,https://nerve.fi,2021-08-23,https://nerve.fi,BSC,C
60,4Belt,,0,0.00,0,BSC,0.0,FARM,https://beta.belt.fi,2021-08-23,https://beta.belt.fi,BSC,F
61,4Belt,,0,0.00,0,BSC,0.0,FARM,https://autofarm.network,2021-08-23,https://autofarm.network,BSC,C
62,4Belt,,0,0.00,0,BSC,0.0,FARM,https://ten.finance,2021-08-23,https://ten.finance,BSC,C
63,4Belt,,0,0.00,0,BSC,0.0,FARM,https://app.yieldparrot.finance,2021-08-23,https://app.yieldparrot.finance,BSC,D
64,4Belt,,0,0.00,0,BSC,0.0,FARM,https://blue.planetfinance.io,2021-08-23,https://blue.planetfinance.io,BSC,D
65,4Belt,,0,0.00,0,BSC,0.0,FARM,https://app.swamp.finance,2021-08-23,https://app.swamp.finance,BSC,C
66,4Belt,,0,0.00,4,BSC,0.0,FARM,https://cashcowswap.org,2021-08-23,https://cashcowswap.org,BSC,D
67,4Belt,,0,0.00,0,BSC,0.0,FARM,,2021-08-23,,,
68,69C,ETH,0.27276480000000003,354.2830902,,ETH,0.27313611967527684,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
69,888,BNB,710.48,125.43,0,BSC,113644.09386713685,FARM,https://glacierswap.org/farms/,2021-08-23,https://glacierswap.org/farms/,BSC,D
70,88MPH,DAI,0.0,7812.2395353,,ETH,0.0,POOL,Sushi,2021-08-23,Sushi,ETH,A
71,88MPH,UNI,0.0,8.187742,,ETH,0.0,POOL,Sushi,2021-08-23,Sushi,ETH,A
72,8BALL,,158.82,136.58,0,MATIC,387.80945211065216,FARM,https://8ballfinance.io,2021-08-23,https://8ballfinance.io,MATIC,C
73,8BALL,MATIC,869.18,129.36,0,MATIC,537620.8087886412,FARM,https://8ballfinance.io,2021-08-23,https://8ballfinance.io,MATIC,C
74,8BALL,USDC,815.20,89.03,0,MATIC,317157.47486089903,FARM,https://8ballfinance.io,2021-08-23,https://8ballfinance.io,MATIC,C
75,A010,BNB,1.33,3595.39,0,BSC,1.3388592860011705,FARM,https://dollar.supra.finance,2021-08-23,https://dollar.supra.finance,BSC,D
76,AAH,ETH,0.72227928,32895.9038158,,ETH,0.7248868101071837,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
77,AAVE,,23.26,40417282.99,0,ETH,26.178314895882828,FARM,https://dao.universe.xyz/yield-farming,2021-08-23,https://dao.universe.xyz/yield-farming,ETH,F
78,AAVE,,0,28521.81,0,ETH,0.0,FARM,https://www.bigdataprotocol.com/datavault,2021-08-23,https://www.bigdataprotocol.com/datavault,ETH,C
79,AAVE,,0,0.00,4,FANTOM,0.0,FARM,https://www.uniron.finance,2021-08-23,,,
80,AAVE,,141.23,17.89,4,FANTOM,309.42138092659314,FARM,https://klingftm.borgswap.exchange,2021-08-23,https://klingftm.borgswap.exchange,FANTOM,C
81,AAVE,,0,0.00,4,FANTOM,0.0,FARM,https://www.knight-finance.xyz,2021-08-23,,,
82,AAVE,,310.86,0.18,4,MATIC,2109.689624639224,FARM,https://hamsterparty.club,2021-08-23,,,
83,AAVE,,637.76,0.06,4,MATIC,55597.654677930754,FARM,https://polysanta.farm,2021-08-23,,,
84,AAVE,,281.81,46.13,4,MATIC,1556.4745141675562,FARM,https://polycuppa.finance/,2021-08-23,,,
85,AAVE,,8341.48,1.98,4,MATIC,4.229430431610122e+34,FARM,https://swap.net,2021-08-23,,,
86,AAVE,,1392884055103191808.00,0.00,4,MATIC,,FARM,https://polyglass.farm,2021-08-23,,,
87,AAVE,,16.53,159.41,4,MATIC,17.97028456417058,FARM,https://polymocha.finance,2021-08-23,,,
88,AAVE,,151451023080454848.00,0.00,4,MATIC,,FARM,https://polycomet.com,2021-08-23,https://polycomet.com,MATIC,F
89,AAVE,,545.17,54.34,2.99,MATIC,22294.20187085136,FARM,https://euroballz.finance,2021-08-23,,,
90,AAVE,,5.92,151.91,2.5,MATIC,6.098232389835623,FARM,https://duckfarm.one,2021-08-23,,,
91,AAVE,,43327.29,299.79,4,MATIC,1.1177903373286093e+126,FARM,https://neonfinance.club/,2021-08-23,,,
92,AAVE,,470.41,1411.17,4,MATIC,10613.019448091767,FARM,https://berryfarms.world/,2021-08-23,,,
93,AAVE,,5133.39,0.64,4,MATIC,7.233562920857672e+22,FARM,https://polygon.space-defi.com/,2021-08-23,https://polygon.space-defi.com/,MATIC,C
94,AAVE,,68.20,1133688.04,4,MATIC,97.6571219819236,FARM,https://ball.polypup.finance,2021-08-23,,,
95,AAVE,,177.10,1.22,4,MATIC,485.16130190214665,FARM,https://www.polyowl.finance,2021-08-23,,,
96,AAVE,,326.80,4.51,4,MATIC,2487.96474486228,FARM,https://polygon4.SpacePortDeFi.com,2021-08-23,,,
97,AAVE,,50.96,168.24,4,MATIC,66.40336891634453,FARM,https://polyunited.finance/,2021-08-23,,,
98,AAVE,,104.37,2689.63,4,MATIC,183.54782942716218,FARM,https://polytopia.farm,2021-08-23,,,
99,AAVE,,85.94,27.80,4,MATIC,135.93587070868648,FARM,https://polyvolve.finance,2021-08-23,https://polyvolve.finance,MATIC,D
100,AAVE,,0,1.27,4,MATIC,0.0,FARM,https://raccoonyield.club,2021-08-23,,,
101,AAVE,,72.84,613.51,4,MATIC,107.0259914583223,FARM,https://www.polyruby.finance,2021-08-23,https://www.polyruby.finance,MATIC,D
102,AAVE,,4882.91,15.68,4,MATIC,7.994276186177228e+21,FARM,https://wonster.polytopia.farm,2021-08-23,,,
103,AAVE,,0.00,0.00,4,MATIC,0.0,FARM,https://polybrew.finance,2021-08-23,https://polybrew.finance,MATIC,C
104,AAVE,,614.01,3.33,4,MATIC,43999.21202729907,FARM,https://polywolf.finance,2021-08-23,https://polywolf.finance,MATIC,F
105,AAVE,,162.33,1.34,4,MATIC,405.15793503817656,FARM,https://polycuban.finance,2021-08-23,https://polycuban.finance,MATIC,C
106,AAVE,,204.96,5572.62,4,MATIC,672.0405197873026,FARM,https://heliumfinance.club/,2021-08-23,,,
107,AAVE,,4.53,127.33,2.99,MATIC,4.633877423760091,FARM,https://www.cupidswap.com,2021-08-23,,,
108,AAVE,,11.56,546.13,3,MATIC,12.25262188275602,FARM,https://www.orcinuslabs.ca,2021-08-23,https://www.orcinuslabs.ca,MATIC,C
109,AAVE,,15711.29,0.02,4,MATIC,5.586233472291884e+58,FARM,https://growthfinance.app,2021-08-23,,,
110,AAVE,,91.81,5191.31,100,MATIC,150.16418708580167,FARM,https://dinosaurfinance.vercel.app,2021-08-23,https://dinosaurfinance.vercel.app,MATIC,F
111,AAVE,,63.92,4805.35,4,MATIC,89.39052337855469,FARM,https://www.moonwolf.io,2021-08-23,https://www.moonwolf.io,MATIC,D
112,AAVE,,26.57,3213.06,4,MATIC,30.42176243067052,FARM,https://polylion.exchange,2021-08-23,https://polylion.exchange,MATIC,C
113,AAVE,,51.18,343.30,3,MATIC,66.76934668803727,FARM,,2021-08-23,,,A
114,AAVE,,51.18,343.30,3,MATIC,66.76934668803727,FARM,,2021-08-23,,,B
115,AAVE,,51.18,343.30,3,MATIC,66.76934668803727,FARM,,2021-08-23,,FANTOM,F
116,AAVE,,51.18,343.30,3,MATIC,66.76934668803727,FARM,,2021-08-23,,MATIC,F
117,AAVE,,51.18,343.30,3,MATIC,66.76934668803727,FARM,,2021-08-23,,MATIC,F
118,AAVE,,106.08,2.04,4,MATIC,188.4240127651414,FARM,https://polyarrow.xyz,2021-08-23,,,
119,AAVE,,49.45,118.02,4,MATIC,63.91295345219537,FARM,https://www.polytiger.com/,2021-08-23,https://www.polytiger.com/,MATIC,D
120,AAVE,,319.06,32.98,4,MATIC,2296.8384029525796,FARM,https://polypingu.finance,2021-08-23,https://polypingu.finance,MATIC,C
121,AAVE,,387.17,72.91,4,MATIC,4605.46520164507,FARM,https://blueberryfarms.world/,2021-08-23,,,
122,AAVE,,98.02,427.98,4,MATIC,166.14902176468806,FARM,https://platinumfinance.app,2021-08-23,,,
123,AAVE,,58.67,4552.29,4,MATIC,79.71983402544241,FARM,https://kunai.dojofarm.finance,2021-08-23,,,
124,AAVE,,0.00,466.04,0,MATIC,0.0,FARM,https://polygold.finance,2021-08-23,https://polygold.finance,MATIC,F
125,AAVE,,172.84,4400.65,0,MATIC,460.8709123198199,FARM,https://barns.finance,2021-08-23,,,
126,AAVE,,71.34,256.73,4,MATIC,103.94980621644785,FARM,https://blackberryfarms.world/,2021-08-23,,,
127,AAVE,,287.58,0.48,4,MATIC,1654.0808516817542,FARM,https://polygon2.SpacePortDeFi.com,2021-08-23,,,
128,AAVE,,65.07,227305.29,4,MATIC,91.57719990370619,FARM,https://polygonfarm.finance,2021-08-23,,,
129,AAVE,,84.40,61.83,4,MATIC,132.33862195147506,FARM,https://polyrangers.finance,2021-08-23,https://polyrangers.finance,MATIC,F
130,AAVE,,2422027.06,0.00,4,MATIC,,FARM,https://polybass.farm,2021-08-23,,,
131,AAVE,,4.52,1.29,4,MATIC,4.623415856049284,FARM,https://polyseal.farm,2021-08-23,,,
132,AAVE,,150.57,2.45,5,MATIC,349.3369445920674,FARM,https://vampirefarming.club,2021-08-23,,,
133,AAVE,,17.41,87.52,4,MATIC,19.012517604035374,FARM,https://www.polygoat.finance,2021-08-23,https://www.polygoat.finance,MATIC,F
134,AAVE,,44.41,467.94,4,MATIC,55.866556474088824,FARM,https://polygon.prismfinance.net,2021-08-23,https://polygon.prismfinance.net,MATIC,C
135,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://polycoke.farm,2021-08-23,,,
136,AAVE,,0.00,6.53,3,MATIC,0.0,FARM,https://polytulip.com,2021-08-23,,,
137,AAVE,,90.32,1164.26,4,MATIC,146.47351231590235,FARM,https://www.polycake.finance,2021-08-23,https://www.polycake.finance,MATIC,C
138,AAVE,,1395.41,0.23,4,MATIC,88555735.53141461,FARM,https://avengers.exchange,2021-08-23,https://avengers.exchange,MATIC,D
139,AAVE,,201.97,849.91,4,MATIC,649.4224067626681,FARM,https://dojofarm.finance,2021-08-23,,,
140,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://tomfinance.app,2021-08-23,,,
141,AAVE,,883.50,4205.59,4,MATIC,618328.7346347902,FARM,https://polypixel.farm/,2021-08-23,,,
142,AAVE,,0.00,118.17,4,MATIC,0.0,FARM,https://polyyork.finance/,2021-08-23,,,
143,AAVE,,238.41,13.00,4,MATIC,976.5510271269885,FARM,https://8ballfinance.io,2021-08-23,https://8ballfinance.io,MATIC,C
144,AAVE,,13696.33,5.78,4,MATIC,3.2238288653323234e+52,FARM,https://iridiumfinance.app/,2021-08-23,,,
145,AAVE,,0,39.22,4,MATIC,0.0,FARM,https://polygon.woodchain.io,2021-08-23,,,
146,AAVE,,0,0.00,1.99,MATIC,0.0,FARM,https://bali.worldswap.finance,2021-08-23,https://bali.worldswap.finance,MATIC,D
147,AAVE,,682.35,122.78,4,MATIC,86207.6120959965,FARM,https://harvester.app,2021-08-23,https://harvester.app,MATIC,D
148,AAVE,,115.67,340.07,4,MATIC,217.36141475003868,FARM,https://polyfi.io,2021-08-23,https://polyfi.io,MATIC,D
149,AAVE,,63.34,130544.07,4,MATIC,88.29713830414806,FARM,https://polywhale.finance,2021-08-23,https://polywhale.finance,MATIC,D
150,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://bisonfinance.online,2021-08-23,,,
151,AAVE,,5.85,17363.72,4,MATIC,6.024001579426286,FARM,https://polysnow.farm,2021-08-23,https://polysnow.farm,MATIC,C
152,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://polykiwi.farm,2021-08-23,,,
153,AAVE,,22.31,499325.16,4,MATIC,24.98603745854937,FARM,https://bone.polypup.finance,2021-08-23,https://bone.polypup.finance,MATIC,C
154,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://polycow.finance,2021-08-23,,,
155,AAVE,,29.18,11.92,4,MATIC,33.867915427884675,FARM,https://polypizza.farm,2021-08-23,,,
156,AAVE,,1181.62,0.48,4,MATIC,11230318.05347374,FARM,https://polygon3.SpacePortDeFi.com,2021-08-23,,,
157,AAVE,,540.56,1.32,4,MATIC,21299.71657971809,FARM,https://www.misfitswap.live,2021-08-23,,,
158,AAVE,,0.00,18.44,4,MATIC,0.0,FARM,,2021-08-23,,,
159,AAVE,,43.61,11.56,4,MATIC,54.62608820205397,FARM,https://polydeer.finance,2021-08-23,https://polydeer.finance,MATIC,C
160,AAVE,,130.84,11.56,4,MATIC,269.1601985420131,FARM,https://polydeer.finance,2021-08-23,https://polydeer.finance,MATIC,C
161,AAVE,,348.89,11.56,4,MATIC,3121.173892280836,FARM,https://polydeer.finance,2021-08-23,https://polydeer.finance,MATIC,C
162,AAVE,,89.48,1450.26,4,MATIC,144.41685044204445,FARM,https://www.polygarden.finance,2021-08-23,,,
163,AAVE,,244.52,9404.22,4,MATIC,1043.9199176347013,FARM,https://gold.polyyork.finance,2021-08-23,,,
164,AAVE,,116.47,408.38,3.69,MATIC,219.90237614767327,FARM,,2021-08-23,,,
165,AAVE,,40.66,791.48,4,MATIC,50.13635033025488,FARM,https://titanbull.finance,2021-08-23,,,
166,AAVE,,60.05,4.68,4,MATIC,82.21307684312902,FARM,https://www.chickenfarms.live,2021-08-23,,,
167,AAVE,,7.47,34.29,4,MATIC,7.755259846365092,FARM,https://www.cygnusdefi.com/,2021-08-23,,,
168,AAVE,,76.23,76977.63,4,MATIC,114.1496914879002,FARM,https://ebiswap.finance,2021-08-23,,,
169,AAVE,,733.10,0.56,4,MATIC,141891.15426111707,FARM,https://yearnit.finance,2021-08-23,,,
170,AAVE,,7613.65,0.02,4,MATIC,1.0770775491252105e+32,FARM,https://polybean.farm,2021-08-23,,,
171,AAVE,,89.97,4796.92,4,MATIC,145.6144807752937,FARM,https://www.polyfund.finance,2021-08-23,,,
172,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://lionfarming.cc,2021-08-23,,,
173,AAVE,,266.38,5726.71,4,MATIC,1321.2569087144993,FARM,https://timeleap.finance,2021-08-23,,,
174,AAVE,,116.13,102.81,4,MATIC,218.81999793428108,FARM,https://polyvalent.finance,2021-08-23,https://polyvalent.finance,MATIC,D
175,AAVE,,910.46,1.42,4,MATIC,804476.0726132853,FARM,https://www.polyswan.finance,2021-08-23,https://www.polyswan.finance,MATIC,D
176,AAVE,,2764.50,0.02,4,MATIC,37422306691214.78,FARM,https://polytail.farm,2021-08-23,,,
177,AAVE,,45.59,6555.43,3,MATIC,57.71438446717894,FARM,https://bcharity.net/,2021-08-23,,,
178,AAVE,,21.65,305.47,4,MATIC,24.164339017174406,FARM,https://polycafe.finance,2021-08-23,https://polycafe.finance,MATIC,C
179,AAVE,,2556.36,0.13,4,MATIC,5377727149856.8545,FARM,https://polyyeti.farm,2021-08-23,,,
180,AAVE,,8057967639.39,0.00,4,MATIC,,FARM,https://hawkfarming.finance,2021-08-23,,,
181,AAVE,,0.00,0.00,4,MATIC,0.0,FARM,https://polycrab.finance,2021-08-23,https://polycrab.finance,MATIC,D
182,AAVE,,19.49,7810.19,4,MATIC,21.51262524629265,FARM,https://suncrypto.finance/,2021-08-23,,,
183,AAVE,,12.32,0.00,3.33,MATIC,13.108710781002397,FARM,https://polyfunky.com/,2021-08-23,https://polyfunky.com/,MATIC,F
184,AAVE,,1974.26,7190.46,4,MATIC,22400361988.64804,FARM,https://berryfactory.world/,2021-08-23,,,
185,AAVE,,62.07,69.12,4,MATIC,85.92493528107539,FARM,https://polybear.exchange,2021-08-23,https://polybear.exchange,MATIC,F
186,AAVE,,21.83,14929.67,4,MATIC,24.38790281622538,FARM,https://farm.boneswap.finance,2021-08-23,,,
187,AAVE,,32.27,77.59,4,MATIC,38.06541836135615,FARM,https://panfinance.xyz,2021-08-23,,,
188,AAVE,,0,0.00,4,MATIC,0.0,FARM,https://www.astrobunny.finance,2021-08-23,,,
189,AAVE,,542.41,1.14,4,MATIC,21693.401461545876,FARM,https://polyfalcon.com/,2021-08-23,,,
190,AAVE,,371.92,9.11,4,MATIC,3946.2644205229444,FARM,https://polymouse.finance,2021-08-23,https://polymouse.finance,MATIC,C
191,AAVE,AVAX,0.00,9013415.94,0,AVAX,0.0,FARM,https://app.pangolin.exchange/#/png,2021-08-23,https://app.pangolin.exchange/#/png,AVAX,B
192,AAVE,AVAX,35.19,214058,0,ETH,42.152533385948445,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
193,AAVE,AVAX,14.85,54773,0,ETH,16.00577630710125,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
194,AAVE,BNB,46.40,5238724.65,0,BSC,58.99543794981745,FARM,https://apeswap.finance,2021-08-23,https://apeswap.finance,BSC,C
195,AAVE,BNB,2312.18,4.17,0,BSC,545051982089.0846,FARM,https://app.gametoken.finance,2021-08-23,https://app.gametoken.finance,BSC,D
196,AAVE,BRSK,662.57,131.81,0,MATIC,70972.18501665647,FARM,https://berserkfinance.com,2021-08-23,https://berserkfinance.com,MATIC,D
197,AAVE,ELK,208.68,5780.25,0,FANTOM,701.1333692880738,FARM,https://app.elk.finance,2021-08-23,https://app.elk.finance,FANTOM,D
198,AAVE,ELK,208.68,5780.25,0,FANTOM,701.1333692880738,FARM,https://app.elk.finance,2021-08-23,https://app.elk.finance,MATIC,D
199,AAVE,ELK,235.26,25957.85,0,MATIC,943.3800714627877,FARM,https://app.elk.finance,2021-08-23,https://app.elk.finance,FANTOM,D
200,AAVE,ELK,235.26,25957.85,0,MATIC,943.3800714627877,FARM,https://app.elk.finance,2021-08-23,https://app.elk.finance,MATIC,D
201,AAVE,ELK,316.57,2610.91,0,AVAX,2238.3965888162925,FARM,https://elk.finance,2021-08-23,https://elk.finance,AVAX,D
202,AAVE,ETH,1.16,39362534.36,0,ETH,1.1667354430092924,FARM,https://www.bao.finance,2021-08-23,https://www.bao.finance,ETH,F
203,AAVE,ETH,37.44,,0,ETH,0.0,FARM,https://www.visor.finance/,2021-08-23,https://www.visor.finance/,ETH,B
204,AAVE,ETH,815612117.83,46873515.14,4,MATIC,,FARM,https://wonster.polytopia.farm,2021-08-23,,,
205,AAVE,ETH,19.72,59206.94,2.5,MATIC,21.792275552307295,FARM,https://polycrystal.finance,2021-08-23,https://polycrystal.finance,MATIC,C
206,AAVE,ETH,1.06,46940934.52,4,MATIC,1.065622347478512,FARM,https://avengers.exchange,2021-08-23,https://avengers.exchange,MATIC,D
207,AAVE,ETH,30.14,5108850.96,0,MATIC,35.15818232156125,FARM,https://exchange.dfyn.network,2021-08-23,https://exchange.dfyn.network,MATIC,B
208,AAVE,ETH,1944.73,46841003.47,4,MATIC,16925519520.858198,FARM,https://polypixel.farm/,2021-08-23,,,
209,AAVE,ETH,45.40,415511.03,0,MATIC,57.415383962711616,FARM,https://app.wault.finance/polygon,2021-08-23,https://app.wault.finance/polygon,MATIC,B
210,AAVE,ETH,3260.84,46841021.85,0,MATIC,3667587962982355.5,FARM,https://poly.cakecrypt.io,2021-08-23,,,
211,AAVE,ETH,11.34,47187929.31,0,MATIC,12.006014842085921,FARM,https://quickswap.exchange/#/quick,2021-08-23,https://quickswap.exchange/#/quick,MATIC,B
212,AAVE,ETH,11.61,43644655.59,0,MATIC,12.308744410023609,FARM,https://app.sushi.com,2021-08-23,https://app.sushi.com,MATIC,A
213,AAVE,ETH,0.00,46843493.53,4,MATIC,0.0,FARM,https://kavian.finance,2021-08-23,,,
214,AAVE,ETH,93.59,42414.33,0,MATIC,154.64549393507036,FARM,https://app.polydex.org,2021-08-23,,,
