,dex,network
67,https://suncrypto.finance/,MATIC
68,https://berryfactory.world/,MATIC
69,https://farm.boneswap.finance,MATIC
70,https://panfinance.xyz,MATIC
71,https://www.astrobunny.finance,MATIC
72,https://polyfalcon.com/,MATIC
73,https://poly.cakecrypt.io,MATIC
74,https://kavian.finance,MATIC
75,https://app.polydex.org,MATIC
76,https://xenomorph.finance/,MATIC
77,https://abu.1001nights.gold,BSC
78,https://robobuddy.finance,BSC
79,https://lumberjackdefi.com,BSC
80,https://bsc4.SpacePortDeFi.com,BSC
81,https://retrofarms.net,BSC
82,https://sugarrush.finance,BSC
83,https://snorre.farmwiki.xyz,BSC
84,https://sabertoothswap.com,BSC
85,https://rubin.eternity.money,BSC
86,https://bsc.SpacePortDeFi.com,BSC
87,https://lady.smurf.money,BSC
88,https://bsc2.SpacePortDeFi.com,BSC
89,https://jasmine.1001nights.gold,BSC
90,https://silver.eternity.money,BSC
91,https://www.symbioteswap.net,BSC
92,https://www.buffaloswap.org,BSC
93,https://greedy.smurf.money,BSC
94,https://miniduck.finance,BSC
95,https://godzillaswapdefi.com/,BSC
96,https://www.twilightfinance.org,BSC
97,https://bsc3.SpacePortDeFi.com,BSC
98,https://goldrush.farm,BSC
99,https://www.galenaswap.com,BSC
100,https://www.buffaloswap.org/,BSC
101,https://www.magmacakefinance.com,BSC
102,https://www.punchdefi.com/,BSC
103,https://www.fungifinance.com,BSC
104,https://TheKongFinance.com,BSC
105,https://adamant.eternity.money,BSC
106,https://1001nights.gold,BSC
107,https://london.worldswap.finance,BSC
108,https://sviki.supermanion.com,BSC
109,https://kittyfarms.app/,BSC
110,https://newgirl.supermanion.com,BSC
111,https://smurf.money,BSC
112,https://eternity.money,BSC
113,https://kong.jungleswap.cash,BSC
114,https://jungleswap.cash,BSC
115,https://restaurantdefi.finance,BSC
116,https://papa.smurf.money,BSC
117,https://app.shibanova.io,BSC
118,https://cobra.jungleswap.cash,BSC
119,https://scarab.farm/,BSC
120,https://www.fedswap.finance/,BSC
121,https://polywantsacracker.farm,MATIC
122,https://area51defi.com/,BSC
123,https://corgiswap.org,BSC
124,https://bear.honeyfarm.finance,BSC
125,https://apesafe.finance/farms,BSC
126,https://arable.finance,MATIC
127,https://stadiumarcadium.farm,MATIC
128,https://www.arenaswap.com,BSC
129,https://app.shibance.com,BSC
130,https://0xatma.finance,MATIC
131,https://www.chadfinance.io,FANTOM
132,https://dapp.aurafi.org,FANTOM
133,https://app.viralata.finance,BSC
134,https://dexterlab.finance,BSC
135,https://www.cryptosphere.finance,BSC
136,https://www.traderjoexyz.com,AVAX
137,https://edenruby.farm,MATIC
138,https://brainswap.finance,MATIC
139,https://www.buttcoincrypto.com,FANTOM
140,https://www.bakery-swap.finance,MATIC
141,https://bakerycream.finance,MATIC
142,https://www.bakerybiscuit.finance,MATIC
143,https://www.bakerycake.finance,MATIC
144,https://polysky.finance,MATIC
145,https://neptune.astrofarms.finance,MATIC
146,https://app.polyyeld.finance,MATIC
147,https://polyyearn.finance,MATIC
148,https://barbershop.finance,MATIC
149,https://app.hepa.finance,BSC
150,https://singular.farm/,MATIC
151,,FANTOM
152,,ETH
153,https://batswap.finance/,MATIC
154,https://yodaswap.finance/,BSC
155,https://app.beefarm.finance,BSC
156,https://beefarmpolygon.com,MATIC
157,https://www.strangebrew.finance,FANTOM
158,https://honeyfarm.finance,BSC
159,https://clash.werewolf.farm,BSC
160,,BSC
161,https://goldfarm.app,BSC
162,https://app.boobafinance.com,BSC
163,https://www.smokingcucumber.finance,BSC
164,https://piranhaswap.finance,BSC
165,https://infinity.space-defi.com,BSC
166,https://deedee.dexterlab.finance,BSC
167,https://www.gemz.finance/,BSC
168,https://app.noblefinance.co,BSC
169,https://whiteteethswap.finance,BSC
170,https://wwf.finance,BSC
171,https://radeon.finance,BSC
172,https://shallotdefi.com/,BSC
173,https://bsc.dojofarm.finance,BSC
174,https://polyfrenchie.com,BSC
175,https://bsc.woodchain.io,BSC
176,https://hamsterswaps.com,BSC
177,The RollerCoaster - https://sub1.chainedfarms.network,BSC
178,https://www.ufodefi.com,BSC
179,https://app.mixswap.finance,BSC
180,https://www.popit.farm,BSC
181,https://tenguswap.com,BSC
182,https://zoogame.app,BSC
183,https://sponge.farm,BSC
184,The Main Farm - https://main.chainedfarms.network,BSC
185,https://foxfinance.org,BSC
186,https://farm.ibg.finance,BSC
187,https://teddy.bears.finance/,BSC
188,https://bsc.bullrun.finance,BSC
189,https://pyramidswap.com/,BSC
190,https://pearzap.com,MATIC
191,https://www.borshch.finance,BSC
192,https://www.moondoge.com,BSC
193,http://latteswap.finance,BSC
194,https://bsc.plaguefactory.com,BSC
195,https://parachuteswap.com,BSC
196,https://bsc.ryuinu.finance,BSC
197,https://shibafantom.finance,FANTOM
198,https://goldenbunny.finance,BSC
199,https://marsswap.finance,BSC
200,https://polycorn.finance,MATIC
201,https://ftm.ryuinu.finance,FANTOM
202,https://app.tendieswap.org,BSC
203,https://www.defi.finance,BSC
204,https://yel.finance,BSC
205,https://fbomb.finance,FANTOM
206,https://fantom.bullrun.finance,FANTOM
207,https://t.me/polyflower,MATIC
208,https://polyquokka.finance/,MATIC
209,https://cancer.astrofarms.finance,MATIC
210,https://0xpolygon.ninja,MATIC
211,https://www.polyghost.finance,MATIC
212,https://copycat2.farm,MATIC
213,https://community.worldswap.finance,MATIC
214,https://gratitude.polymax.club,MATIC
215,https://kegg.polyquail.finance,MATIC
216,https://kwil.polyquail.finance,MATIC
217,https://poolsar.finance,MATIC
218,https://cyborg.polymax.club,MATIC
219,https://geo-earthswap.finance,MATIC
220,https://coinopolis.io,MATIC
221,https://polyrabbitfinance.com/,MATIC
222,https://poly.shallotdefi.com,MATIC
223,https://kualalumpur.worldswap.finance,MATIC
224,https://polygorilla.finance,MATIC
225,https://sandman.farm,MATIC
226,http://farmgeo.finance,MATIC
227,https://polyearn.com/,MATIC
228,https://evo-matic.com,MATIC
229,https://copycat.farm,MATIC
230,https://venus.planetswap.app,MATIC
231,https://www.plaguefactory.com,MATIC
232,https://valorant.life/,MATIC
233,https://www.sushifarm.finance,MATIC
234,https://sunsetv2.finance/,MATIC
235,https://oceanfinance.io,MATIC
236,https://hanoi.worldswap.finance,MATIC
237,https://polytoken.finance,MATIC
238,https://berkshire.polymax.club,MATIC
239,https://caveman.polymax.club,MATIC
240,https://polygon.bullrun.finance,MATIC
241,https://cremepieswap.finance,MATIC
242,https://elysm.polytopia.farm,MATIC
243,https://polygon.jetswap.finance,MATIC
244,https://flexprotocol.org/#/stake,BSC
245,https://www.stablefarms.finance,BSC
246,https://rabbitfinance.io,BSC
247,https://bsc-triton.galaxyfinance.one/,BSC
248,N/A,FANTOM
249,https://polygoon.finance,MATIC
250,https://doc.plaguefactory.com,MATIC
251,https://olympusdao.eth.link/,ETH
252,https://fantom-triton.galaxyfinance.one/,FANTOM
253,https://pantsuswap.com,MATIC
254,https://valueset.finance/,ETH
255,https://daikiri.finance/#,MATIC
256,https://dsd.finance,ETH
257,https://app.emptyset.finance/dollar,ETH
258,https://emiswap.com,ETH
259,https://polyshield.finance,MATIC
260,https://polymon.finance,MATIC
261,https://polyracoon.com,MATIC
262,https://afksystem.finance,MATIC
263,https://fox.shapeshift.com,ETH
264,https://app.frax.finance/,ETH
265,https://app.meebmaster.com,MATIC
266,https://yel.finance,ETH
267,https://ftm.guru/LF/2001,FANTOM
268,https://shade.cash,FANTOM
269,https://yel.finance,FANTOM
270,https://www.ragnarok.digital,MATIC
271,https://yel.finance,MATIC
272,https://polytide.finance/,MATIC
273,https://polygon.paprprintr.finance,MATIC
274,https://pharmswap.finance,MATIC
275,https://composable.finance,ETH
276,https://polygon-triton.galaxyfinance.one/,MATIC
277,https://app.blackswan.network,MATIC
278,https://mlnl.finance | Vaults at https://milfinance.xyz,FANTOM
279,https://snowball.network/earn/,AVAX
280,https://saddle.exchange,ETH
